Symbol	201414878-01	201414879-01	201414880-01	201414881-01	201414882-01	201414883-01
ENSG00000006075.11	0	0	0	0	0	0
ENSG00000006114.11	943	762	364	1780	1599	2262
ENSG00000006116.3	0	0	0	0	0	0
ENSG00000006118.10	602	385	135	1503	1450	1562
ENSG00000006125.12	3122	2341	976	4182	4503	4875
ENSG00000006128.7	0	0	0	0	0	0
ENSG00000006194.6	1022	758	294	1040	1136	1098
ENSG00000006210.6	0	0	0	0	0	0
ENSG00000006282.15	401	230	60	1120	1143	1225
ENSG00000006283.13	2	0	0	1	0	0
ENSG00000006327.9	2288	1634	357	4165	4976	3629
ENSG00000006377.9	3	1	0	0	0	1
ENSG00000006432.11	436	234	147	606	756	735
ENSG00000006451.3	3148	2861	1569	3161	2476	4323
ENSG00000006453.9	734	580	313	943	763	1110
ENSG00000006459.6	1531	1277	801	1197	1079	1289
ENSG00000006468.9	1067	1163	492	2692	2967	2783
ENSG00000006530.11	365	285	93	598	727	552
ENSG00000006534.11	123	53	14	229	228	283
ENSG00000006555.6	1	1	0	0	1	0
ENSG00000006576.12	1369	1199	537	2282	2417	2303
ENSG00000006606.4	0	0	0	0	2	1
ENSG00000006607.9	868	518	258	1183	1258	1157
ENSG00000006611.11	0	0	0	0	0	0
ENSG00000006625.13	973	989	553	1558	1571	1586
ENSG00000006634.3	179	215	99	532	493	501
ENSG00000006638.7	4	4	2	6	7	16
ENSG00000006652.9	2557	2106	1010	3394	3984	3520
ENSG00000006659.8	0	0	0	0	0	0
ENSG00000006695.6	226	162	85	377	391	398
ENSG00000006704.6	533	282	87	964	774	1171
ENSG00000006712.10	1592	1233	538	2224	1463	2730
ENSG00000006715.11	4373	3515	2073	5233	5736	5651
ENSG00000006740.12	45	34	20	100	79	88
ENSG00000006744.14	1154	829	273	2121	2258	2479
ENSG00000006747.10	1	1	0	6	10	17
ENSG00000006756.11	793	645	258	1333	1509	1446
ENSG00000006757.7	192	155	86	261	167	280
ENSG00000006788.8	0	0	0	2	0	0
ENSG00000006831.9	1116	793	290	1825	1864	1751
ENSG00000006837.7	24	17	13	26	32	27
ENSG00000007001.8	0	1	1	0	1	2
ENSG00000007038.6	0	0	0	0	0	0
ENSG00000007047.10	218	142	55	401	316	566
ENSG00000007062.7	0	0	0	3	6	2
ENSG00000007080.6	316	147	65	509	243	791
ENSG00000007129.13	0	0	0	0	0	0
ENSG00000007168.8	5542	4381	2056	6693	7544	7682
ENSG00000007171.12	0	1	1	2	0	0
ENSG00000007174.13	3	0	1	3	0	0
ENSG00000007202.10	7501	4594	1926	10551	10492	11851
ENSG00000007216.10	0	0	0	2	0	0
ENSG00000007237.14	920	696	285	1599	1438	1923
ENSG00000007255.6	17	11	3	30	29	29
ENSG00000007264.9	0	1	0	2	0	0
ENSG00000007306.10	0	0	0	0	0	0
ENSG00000007312.8	0	0	0	2	0	0
ENSG00000007314.7	1	1	0	3	0	0
ENSG00000007341.14	872	806	384	1309	1490	1363
ENSG00000007350.12	0	0	0	0	0	0
ENSG00000007372.16	4545	3639	1570	6083	5594	6273
ENSG00000007376.3	27	10	4	120	133	145
ENSG00000007384.11	194	85	40	550	508	604
ENSG00000007392.12	1686	1560	587	2776	2555	2945
ENSG00000007402.7	1	3	0	7	0	0
ENSG00000007516.9	6	2	2	8	7	3
ENSG00000007520.3	252	147	146	684	673	834
ENSG00000007541.10	112	47	8	333	301	356
ENSG00000007545.11	283	196	87	479	452	539
ENSG00000007866.14	220	82	35	438	351	427
ENSG00000007908.11	1	0	0	1	0	0
ENSG00000007923.11	1318	966	353	1700	1491	1959
